ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AR,,,,,2.90,,,,,,,"<b>COLEGIUL PARTICULAR ""VASILE GOLDIŞ"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(209) Economic</b><br/>Limba română
AR,,,,,5.45,,,,,,,<b>LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(172) Agricultură</b><br/>Limba română
AR,,,,,4.90,,,,,,,<b>LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(173) Industrie alimentară</b><br/>Limba română
AR,,,,,7.90,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(113) Filologie</b><br/>Limba română
AR,,,,,7.67,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Real/Liceal/Zi",<b>(115) Matematică-Informatică</b><br/>Limba română
AR,,,,,7.65,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Real/Liceal/Zi",<b>(116) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,7.67,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(114) Filologie</b><br/>Limba română
AR,,,,,9.05,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Real/Liceal/Zi",<b>(123) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.62,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(122) Filologie</b><br/>Limba română
AR,,,,,3.72,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(145) Comerţ</b><br/>Limba română
AR,,,,,3.57,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(146) Estetica şi igiena corpului omenesc</b><br/>Limba română
AR,,,,,3.55,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(148) Fabricarea produselor din lemn</b><br/>Limba română
AR,,,,,3.00,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(149) Industrie textilă şi pielărie</b><br/>Limba română
AR,,,,,3.80,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(150) Silvicultură</b><br/>Limba română
AR,,,,,8.72,,,,,,,"<b>LICEUL TEOLOGIC BAPTIST ""ALEXA POPOVICI"" ARAD</b><br/>Real/Liceal/Zi",<b>(181) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,2.42,,,,,,,"<b>LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO ""HENRI COANDĂ"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(176) Mecanică</b><br/>Limba română
AR,,,,,8.47,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(117) Filologie</b><br/>Limba română
AR,,,,,8.87,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(118) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.85,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(119) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,9.52,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(120) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,5.45,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Umanist/Liceal/Zi",<b>(195) Filologie</b><br/>Limba română
AR,,,,,5.80,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(196) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.95,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(197) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,3.10,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Tehnic/Liceal/Zi,"<b>(163) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AR,,,,,4.45,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Servicii/Liceal/Zi,<b>(165) Economic</b><br/>Limba română
AR,,,,,3.18,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Tehnic/Liceal/Zi,<b>(166) Mecanică</b><br/>Limba română
AR,,,,,3.27,,,,,,,"<b>LICEUL TEHNOLOGIC ""ION CREANGĂ"" CURTICI</b><br/>Servicii/Liceal/Zi",<b>(151) Economic</b><br/>Limba română
AR,,,,,5.22,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Servicii/Liceal/Zi",<b>(101) Comerţ</b><br/>Limba română
AR,,,,,6.05,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română
AR,,,,,7.22,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Umanist/Liceal/Zi",<b>(103) Filologie</b><br/>Limba română
AR,,,,,7.40,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Real/Liceal/Zi",<b>(104) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.20,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Tehnic/Liceal/Zi",<b>(105) Mecanică</b><br/>Limba română
AR,,,,,5.67,,,,,,,"<b>COLEGIUL ""MIHAI VITEAZUL"" INEU</b><br/>Real/Liceal/Zi",<b>(106) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,2.00,,,,,,,"<b>LICEUL TEHNOLOGIC ""SAVA BRANCOVICI"" INEU</b><br/>Tehnic/Liceal/Zi",<b>(153) Electric</b><br/>Limba română
AR,,,,,2.85,,,,,,,"<b>LICEUL TEHNOLOGIC ""SAVA BRANCOVICI"" INEU</b><br/>Servicii/Liceal/Zi",<b>(156) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,3.22,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Tehnic/Liceal/Zi",<b>(134) Electric</b><br/>Limba română
AR,,,,,4.82,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Umanist/Liceal/Zi",<b>(135) Filologie</b><br/>Limba română
AR,,,,,4.07,,,,,,,"<b>LICEUL ""ATANASIE MARIENESCU"" LIPOVA</b><br/>Real/Liceal/Zi",<b>(136) Matematică-Informatică</b><br/>Limba română
AR,,,,,4.15,,,,,,,"<b>LICEUL ""SEVER BOCU"" LIPOVA</b><br/>Servicii/Liceal/Zi",<b>(139) Comerţ</b><br/>Limba română
